"name","abv","ibu","style"
"Lily Flagg Milk Stout",5,30,"Other"
"Monkeynaut IPA",7.2,70,"IPA"
"American Lager",4.1,8,"Lager"
"American Amber",4.1,8,"Lager"
"American Light",3.2,13,"Lager"
"Unchained #18 Hop Silo",8.3,100,"DIPA"
"Tip Off",5.2,29,"Lager"
"Cowbell",5.4,23,"Other"
"Fistful Of Hops Red",6.4,75,"IPA"
"Fistful of Hops Orange",6.3,75,"IPA"
"Fistful Of Hops Blue",6.4,75,"IPA"
"Fistful of Hops Green",6.4,75,"IPA"
"Grapefruit Jungle (GFJ)",7.5,77,"IPA"
"Bourbon Barrel Aged Timmie",9.9,75,"Other"
"Ring of Dingle",7.1,27,"Other"
"The Velvet Fog",9,24,"Lager"
"Sun King Oktoberfest",5.5,23,"Lager"
"Indianapolis Indians Lager",5.2,24,"Lager"
"Indians Victory Lager (2012)",5.2,24,"Lager"
"Isis",9.1,91,"DIPA"
"Grapefruit Jungle (GFJ) (2011)",7.5,77,"IPA"
"Sun King Oktoberfest (2011)",5.5,23,"Lager"
"Overrated! West Coast Style IPA",7.3,69,"IPA"
"WET",7.5,90,"IPA"
"Abrasive Ale",9.7,120,"DIPA"
"Furious",6.2,99,"IPA"
"Big Nose",7.3,50,"IPA"
"Cotton Mouth",5,10,"Lager"
"Midnight Oil",5,38,"Other"
"Take Two Pils",5.5,35,"Lager"
"Dodgy Knight Imperial IPA",8,95,"DIPA"
"TailGate IPA",5,44,"IPA"
"TailGate IPA",5,44,"IPA"
"TailGate Hefeweizen",4.9,28,"Lager"
"TailGate Hefeweizen",4.9,28,"Lager"
"Zombie Monkie",6.2,35,"Other"
"Vanilla Bean Buffalo Sweat",5,20,"Other"
"Ethos IPA",6.8,110,"IPA"
"Buffalo Sweat",5,20,"Other"
"KÃÂ¶ld Lager (2010)",5,16,"Lager"
"Oasis (2010)",7.2,93,"DIPA"
"Buffalo Sweat (2010)",5,20,"Other"
"Tallgrass IPA",6.3,60,"IPA"
"Old Elephant Foot IPA",7,80,"IPA"
"Peck's Porter",6.5,35,"Other"
"Deduction",8,22,"Lager"
"Broken Bridge",5.6,12,"Lager"
"Brutus",7.1,69,"IPA"
"Heady Topper",8,120,"DIPA"
"Heady Topper",8,120,"DIPA"
"Indian Paintbrush IPA",7,75,"IPA"
"Double Trunk",9.9,101,"DIPA"
"Just IPA",4.6,45,"IPA"
"Fivepine Chocolate Porter",6.2,40,"Other"
"Hoodoo Voodoo IPA",6.2,82,"IPA"
"40 Mile IPA",6,50,"IPA"
"Pole Barn Stout",5.5,31,"Other"
"Yoshi's Nectar",5.3,27,"Lager"
"Cafe Leche",5.8,20,"Other"
"Csar",12,90,"Other"
"Overlord Imperial IPA",8.5,115,"DIPA"
"Alloy",5.8,36,"IPA"
"3 Gear Robust Porter",5.2,50,"Other"
"Circuit Bohemian Pilsner",4.5,35,"Lager"
"Juke Joint IPA",7,60,"IPA"
"Parade Ground Coffee Porter",7,35,"Other"
"IPA & a Half",7.3,87,"IPA"
"Ornery Amber Lager (2003)",5.5,33,"Lager"
"Almanac IPA",6.2,72,"IPA"
"Sunshine Pils",4.5,45,"Lager"
"Troegenator Doublebock",8.2,25,"Lager"
"Perpetual IPA",7.5,85,"IPA"
"Hoppy Boy",6.2,65,"IPA"
"Cow Creek",5.4,26,"Lager"
"Chupahopra",7.5,63,"IPA"
"Twisted X",5.1,19,"Lager"
"Day Hike Session",4.1,41,"IPA"
"Trailhead ISA",4.8,48,"IPA"
"Evo IPA",6.2,70,"IPA"
"Evolutionary IPA (2012)",6.2,70,"IPA"
"Evolutionary IPA (2011)",6.2,70,"IPA"
"Trailhead India Style Session Ale (2011)",4.8,48,"IPA"
"Wobble",6.3,69,"IPA"
"Dog Days Lager",5.1,17,"Lager"
"Atom Smasher",7.7,23,"Lager"
"Yard Sale Winter Lager",4,22,"Lager"
"Trader Session IPA",4,42,"IPA"
"Hop Nosh IPA",7.3,83,"IPA"
"Organic Baba Black Lager",4,32,"Lager"
"Hop Notch IPA (2013)",7.3,82,"IPA"
"The Green Room",6,75,"IPA"
"Humbucker Helles",4.7,25,"Lager"
"Double Duckpin",8.5,90,"DIPA"
"Campside Session IPA",4.5,50,"IPA"
"Upland Wheat Ale",4.5,15,"Lager"
"Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout",9.9,51,"Other"
"Thai Style White IPA",6.5,33,"IPA"
"Upslope Imperial India Pale Ale",9.9,90,"DIPA"
"Top Rope Mexican-style Craft Lager",4.8,15,"Lager"
"Upslope Craft Lager",4.8,22,"Lager"
"Upstate I.P.W.",6.5,70,"IPA"
"Squatters Hop Rising Double IPA",9,75,"DIPA"
"Squatters Hop Rising Double IPA (2014)",9,75,"DIPA"
"White Magick of the Sun",7.9,23,"Lager"
"Good Vibes IPA",7.3,85,"IPA"
"Pilzilla",7.5,85,"Lager"
"Wachusett Light IPA",4,37,"IPA"
"Green Monsta IPA",6,55,"IPA"
"Wachusett IPA",5.6,50,"IPA"
"Larry Imperial IPA",8.5,85,"DIPA"
"Wachusett Light IPA (2013)",4,37,"IPA"
"Green Monsta IPA",6,55,"IPA"
"Self Starter",5.2,67,"IPA"
"White Thai",5,16,"Lager"
"Westbrook IPA",6.8,65,"IPA"
"Westfield Octoberfest",5.7,22,"Lager"
"Charlie in the Rye",5.8,55,"IPA"
"OÃ¢â¬â¢MalleyÃ¢â¬â¢s IPA",7.5,89,"IPA"
"Hefe Black",4.9,30,"Lager"
"Widmer Brothers Hefeweizen",4.9,30,"Lager"
"Hop Slayer Double IPA",8.2,100,"DIPA"
"Hop Slayer Double IPA (2011)",8.2,100,"DIPA"
"Hop Slayer Double IPA (2011)",8.2,100,"DIPA"
"Wild Onion Summer Wit",4.2,13,"Lager"
"Jack Stout",6,23,"Other"
"Wild Wolf American Pilsner",4.5,25,"Lager"
"Ace IPA",7.4,83,"IPA"
"P-51 Porter",8,31,"Other"
"#002 American I.P.A.",7.1,60,"IPA"
"#004 Session I.P.A.",4.8,38,"IPA"
"Ananda India Pale Ale",6.2,61,"IPA"
"Tiny Bomb",4.5,23,"Lager"
"Train Hopper",5.8,72,"IPA"
"Troopers Alley IPA",5.9,135,"IPA"
"Wolverine Premium Lager",4.7,15,"Other"
"4000 Footer IPA",6.5,82,"IPA"
"Summer Brew",2.8,15,"Lager"
"Be Hoppy IPA",6.5,69,"IPA"
"Worthy IPA",6.9,69,"IPA"
"Easy Day Kolsch",4.5,25,"Lager"
"Lights Out Vanilla Cream Extra Stout",7.7,30,"DIPA"
"Worthy IPA (2013)",6.9,69,"IPA"
"Belgorado",6.7,45,"IPA"
